physical address,number of rooms,area of apartment,number of floors,apartment floor,price,repair,bathroom,view from the windows,terrace,year of construction,elevator,type of house,parking,link
"Москва, Дубнинская ул., 40Ак2",3,73.5 м²,32,4,22500000,дизайнерский,совмещенный,"во двор, на улицу, на солнечную сторону",балкон,2007.0,2,монолитный,"подземная, за шлагбаумом во дворе",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_735_m_432_et._3847927642?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Давыдковская ул., 3",3,121.1 м²,43,26,68700000,дизайнерский,совмещенный,"во двор, на улицу, на солнечную сторону",,2004.0,1,монолитно-кирпичный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_1211_m_2643_et._4323089754?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Старобитцевская ул., 21к1",1,41 м²,14,10,12500000,косметический,раздельный,"на улицу, на солнечную сторону",лоджия,1991.0,2,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_41_m_1014_et._4611633651?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, 1-й Хвостов пер., 3Ас2",студия,18.3 м²,6,2,17500000,дизайнерский,совмещенный,во двор,,,1,кирпичный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_183_m_26_et._4778224238?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Василия Ланового, 1к2",1,414 м²,41,33,24900000,дизайнерский,совмещенный,"на улицу, на солнечную сторону",,2023.0,3,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_414_m_3341_et._4530885542?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Крузенштерна, 12к2",3,74.4 м²,16,16,31990000,требует ремонта,совмещенный,"во двор, на улицу, на солнечную сторону",,2023.0,2,монолитно-кирпичный,"подземная, наземная многоуровневая, открытая во дворе",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_744_m_1616_et._4558705193?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Ангелов пер., 11",3,74 м²,17,16,17900000,требует ремонта,раздельный,во двор,лоджия,1993.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_74_m_1617_et._4580885190?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Люблинская ул., 76к5",2,69.9 м²,24,17,16049040,косметический,раздельный,,лоджия,2021.0,1,монолитный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/auktsion_2-k._kvartira_699_m_1724_et._4465205005?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"пос. Московский, дер. Саларьево, ул. Саларьевская, д. 9",1,31.8 м²,17,4,7135100,,,,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_318_m_417_et._4382266707?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Ильменский проезд, стр. 1, корп. 1",студия,22.6 м²,32,7,7900000,,совмещенный,на улицу,,,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_226_m_732_et._4403887476?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ул. Лосиноостровская, стр. 3",1,34.9 м²,23,12,8800000,,,,,,,монолитно-кирпичный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_349_m_1223_et._4236405711?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, пр. Невельского, 6к2",3,101.1 м²,10,9,53000000,дизайнерский,совмещенный,во двор,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_1011_m_910_et._5025884487?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Ломоносовский пр-т, 3к1",2,43 м²,8,3,22650000,дизайнерский,совмещенный,"во двор, на улицу, на солнечную сторону",лоджия,1964.0,1,кирпичный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_43_m_38_et._4549414683?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Вокзальный пер., 7к2",2,38.7 м²,14,11,14100000,косметический,раздельный,"во двор, на улицу",лоджия,1972.0,2,блочный,,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_387_m_1114_et._4785699447?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Клинская ул., 4к1",3,63.2 м²,12,3,14700000,косметический,совмещенный,"во двор, на улицу",балкон,,2,панельный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_632_m_312_et._4344571782?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Наставнический пер., 6",1,51 м²,6,6,24000000,требует ремонта,"совмещенный, раздельный",,балкон,,,кирпичный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_51_m_66_et._4540119926?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Генерала Антонова, 5к1",3,58.7 м²,9,2,15980400,косметический,совмещенный,,балкон,1968.0,1,панельный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_587_m_29_et._4079045227?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Мартеновская ул., 6к3",3,72.2 м²,5,4,18450000,косметический,раздельный,"во двор, на улицу",балкон,1960.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_722_m_45_et._4095476903?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Крузенштерна, 6",1,36.7 м²,3,2,16100000,требует ремонта,совмещенный,во двор,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_367_m_23_et._4929714782?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Курганская ул., 10",2,51.5 м²,14,14,13150000,косметический,раздельный,"во двор, на улицу, на солнечную сторону",балкон,1990.0,2,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_515_m_1414_et._4559813801?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Варшавское ш., 141Ак5",3,66.2 м²,25,2,19900000,евро,раздельный,"во двор, на солнечную сторону",,2018.0,2,монолитно-кирпичный,"наземная многоуровневая, открытая во дворе",https://www.avito.ru/moskva/kvartiry/3-k._kvartira_662_m_225_et._4603216163?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Производственная ул., 1",1,33.5 м²,9,6,9300000,косметический,раздельный,"во двор, на улицу",лоджия,1981.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_335_m_69_et._4497050228?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Мосфильмовская ул., 98к2",3,78 м²,37,5,40700000,дизайнерский,совмещенный,во двор,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_78_m_537_et._4770250845?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Даниловская наб., 6к5",1,33 м²,9,1,11300000,евро,совмещенный,"во двор, на улицу, на солнечную сторону",,1962.0,1,блочный,"открытая во дворе, за шлагбаумом во дворе",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_33_m_19_et._4260573137?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Востряковский пр., 21к3",3,62 м²,9,7,10500000,требует ремонта,раздельный,во двор,балкон,1973.0,1,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_62_m_79_et._406417492?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Михалковская ул., 48к2",1,36.4 м²,20,14,17400000,дизайнерский,совмещенный,на солнечную сторону,балкон,2023.0,1,монолитный,"подземная, за шлагбаумом во дворе",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_364_m_1420_et._4578394345?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Софийская наб., 10",3,143 м²,6,4,395000000,требует ремонта,совмещенный,"во двор, на улицу, на солнечную сторону",,2023.0,1,монолитно-кирпичный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_143_m_46_et._4291316015?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Расплетина, 22к2",3,137 м²,21,8,67000000,евро,раздельный,на улицу,лоджия,2006.0,2,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_137_m_821_et._4210220635?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Кутузовский пр-т, 25",3,60.4 м²,12,7,37500000,евро,раздельный,"на улицу, на солнечную сторону",,1952.0,1,кирпичный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_604_m_712_et._4417332190?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Аминьевское ш., 4Дк1",3,78.9 м²,25,6,26000000,евро,"совмещенный, раздельный","во двор, на улицу",лоджия,,,монолитный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_789_m_625_et._4609772959?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Ефремова, 10с1к4/4",4,270.6 м²,12,12,745000000,требует ремонта,совмещенный,"во двор, на улицу, на солнечную сторону",,2019.0,1,монолитно-кирпичный,подземная,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_2706_m_1212_et._2595484757?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Петра Алексеева, 14",2,43.8 м²,32,5,19390000,дизайнерский,совмещенный,во двор,,2023.0,,монолитный,,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_438_m_532_et._4620081834?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Минская ул., 2",3,121 м²,39,26,80000000,дизайнерский,совмещенный,"во двор, на улицу, на солнечную сторону",,2016.0,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_121_m_2639_et._4483341000?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ул. Фридриха Энгельса, стр. 2",2,73 м²,27,19,36646000,,"совмещенный, раздельный","во двор, на улицу",,,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_73_m_1927_et._4498273674?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Ленинградское ш., стр. 7.3",1,43.9 м²,57,37,20589100,,,,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_439_m_3757_et._4307639470?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Шлюзовая наб., д. 2/1с1",1,72.5 м²,12,9,59812500,,"совмещенный, раздельный",во двор,,,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_725_m_912_et._4497516249?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Беломорская ул., 24к3",3,58 м²,26,25,18900000,евро,совмещенный,на улицу,лоджия,2010.0,2,монолитно-кирпичный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_58_m_2526_et._4126204719?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"пр-т Мира, ЖК «Мира»",2,62.9 м²,17,15,33761945,,,,,,,монолитно-кирпичный,,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_629_m_1517_et._4777559684?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Краснопресненская наб., д. 14, корп. 2",3,128.2 м²,67,67,146361132,,,,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_1282_m_6767_et._3043881924?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Дмитровское ш., д. 75/77",студия,32.6 м²,31,30,16285486,,,во двор,,,,монолитно-кирпичный,подземная,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_326_m_3031_et._3867086850?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ул. Обручева, вл. 23",3,85.2 м²,34,26,47737560,,,,,,2,монолитный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_852_m_2634_et._4408910361?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ул. Академика Волгина, д. 2",2,46.5 м²,47,36,20262375,,,,,,2,монолитно-кирпичный,"подземная, открытая во дворе",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_465_m_3647_et._2671886997?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Ленинградское ш., стр. 7.1",3,92.5 м²,34,24,40330000,,,,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_925_m_2434_et._4308367371?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Нижегородская ул., 6",2,38.4 м²,12,10,13600000,косметический,раздельный,во двор,балкон,,2,панельный,,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_384_m_1012_et._4263705115?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ул. Вишнёвая, д. 7",4,109.3 м²,30,15,39238700,,совмещенный,во двор,,,1,монолитно-кирпичный,подземная,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1093_m_1530_et._4698791107?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"3-й Хорошёвский проезд, д. 3А",1,43.5 м²,57,3,21943488,,,,,,,монолитно-кирпичный,"подземная, открытая во дворе",https://www.avito.ru/moskva/kvartiry/1-k._kvartira_435_m_357_et._4624473282?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ул. Полковая, вл. 1",2,52.5 м²,22,15,31543365,,,,,,,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_525_m_1522_et._3939080013?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ул. Электродная , EVOPARK Измайлово",2,39.7 м²,18,10,11679870,,,,,,,монолитно-кирпичный,,https://www.avito.ru/moskva/kvartiry/2-k._apartamenty_397_m_1018_et._4015135929?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ул. Вишнёвая, д. 7",3,77.6 м²,30,15,28510240,,совмещенный,во двор,,,1,монолитно-кирпичный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_776_m_1530_et._4698845090?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Колодезный пер., 14",студия,19.5 м²,6,6,3293000,косметический,совмещенный,на улицу,,1927.0,нет,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_195_m_66_et._4817940257?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ш. Волоколамское, стр. 14",3,132 м²,22,10,88268400,,раздельный,,балкон,,,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_132_m_1022_et._4445773774?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"пр-т Мира, д. 222/2 корп. 4",1,35.8 м²,36,23,11241200,,,,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/1-k._apartamenty_358_m_2336_et._2959213811?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ул. Вишнёвая, д. 7",2,71.4 м²,36,13,24940020,,,во двор,,,1,монолитно-кирпичный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_714_m_1336_et._4698634421?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ул. Лобачевского/платформа «Матвеевская», кв-л 4.1",2,77.4 м²,49,6,34234020,,совмещенный,,,,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_774_m_649_et._4778115573?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ул. Полковая, вл. 1",2,52.5 м²,22,15,31543365,,,,,,,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_525_m_1522_et._3939080013?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Бестужевых, 13Б",2,46.9 м²,9,2,12000000,косметический,раздельный,во двор,,1975.0,1,панельный,"открытая во дворе, за шлагбаумом во дворе",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_469_m_29_et._4301028022?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ул. 2-я Хуторская, вл. 34",4,156 м²,49,49,101509481,,,,,,,монолитно-кирпичный,,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_156_m_4949_et._4209780709?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Шелепихинская наб., 42к2",3,87.6 м²,27,18,39700000,требует ремонта,раздельный,"во двор, на улицу",балкон,2020.0,2,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_876_m_1827_et._4300593220?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"пр-д 1-й Сетуньский, д. 8",1,38.9 м²,41,4,27476080,,,,,,,монолитно-кирпичный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_389_m_441_et._4309611754?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ул. Электродная , EVOPARK Измайлово",студия,31.6 м²,18,3,8995890,,,,,,,монолитно-кирпичный,,https://www.avito.ru/moskva/kvartiry/apartamenty-studiya_316_m_318_et._4014772762?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Шелепихинская наб., 34к1",1,35 м²,41,37,17500000,требует ремонта,совмещенный,на улицу,,,3,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_35_m_3741_et._3998979982?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ул. Южнопортовая, стр. 8",2,57.9 м²,29,28,22520784,,совмещенный,,,,2,монолитно-кирпичный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_579_m_2829_et._4379667526?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Нагорная ул., 14к1",2,36.4 м²,9,5,12700000,евро,совмещенный,"во двор, на улицу",балкон,1964.0,1,кирпичный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_364_m_59_et._4358409493?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ул. Демьяна Бедного, вл. 24",3,80.8 м²,46,10,51065600,,,,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/3-k._kvartira_808_m_1046_et._4470985448?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"пр-д 1-й Сетуньский, д. 8",4,119.1 м²,41,40,98070700,,,,,,,монолитно-кирпичный,,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_1191_m_4041_et._4309653271?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"пр-т Мира, д. 222/2 корп. 4",1,35.8 м²,36,23,11241200,,,,,,,монолитный,,https://www.avito.ru/moskva/kvartiry/1-k._apartamenty_358_m_2336_et._2959213811?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Шлюзовая наб., д. 2/1с1",2,101.4 м²,8,3,75745800,,совмещенный,во двор,лоджия,,1,монолитный,подземная,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_1014_m_38_et._4497594966?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"п. Сосенское, дер. Николо-Хованское, з/у 3/3, стр. 11.1",студия,20.7 м²,16,13,7528714,,совмещенный,на улицу,,,1,монолитный,,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_207_m_1316_et._4239388437?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Сытинский пер., 5/10с3",студия,25.2 м²,4,2,17800000,дизайнерский,совмещенный,на улицу,,1917.0,нет,кирпичный,за шлагбаумом во дворе,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_252_m_24_et._4200388632?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"п. Сосненское, д. Столбово, з/у 41/1Г, д. 9",4,78.1 м²,19,11,14913195,,совмещенный,во двор,,,1,монолитный,,https://www.avito.ru/moskva/kvartiry/4-k._kvartira_781_m_1119_et._4238602472?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Можайское ш., 4к1",2,53.2 м²,16,10,15000000,евро,раздельный,"на улицу, на солнечную сторону",балкон,,2,панельный,открытая во дворе,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_532_m_1016_et._972112633?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"ул. Короткая, жилой дом",студия,26 м²,4,3,5031000,,совмещенный,на улицу,,,,монолитно-кирпичный,,https://www.avito.ru/moskva/kvartiry/kvartira-studiya_26_m_34_et._4961898135?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, Люблинская ул., 59",1,37.8 м²,17,8,10350000,косметический,совмещенный,во двор,лоджия,1988.0,1,панельный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_378_m_817_et._4149335816?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"3-й Хорошёвский проезд, д. 3А",2,58.7 м²,46,15,43640515,,,,,,,монолитно-кирпичный,"подземная, открытая во дворе",https://www.avito.ru/moskva/kvartiry/2-k._kvartira_587_m_1546_et._4623556274?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"Москва, ул. Новаторов, 34к4",2,52 м²,16,1,17250000,евро,раздельный,во двор,,1978.0,,панельный,,https://www.avito.ru/moskva/kvartiry/2-k._kvartira_52_m_116_et._4811604985?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
"пр-д 1-й Сетуньский, д. 8",1,54.7 м²,41,2,33216150,,,,,,,монолитно-кирпичный,,https://www.avito.ru/moskva/kvartiry/1-k._kvartira_547_m_241_et._4310164178?context=H4sIAAAAAAAA_wEfAOD_YToxOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7fQseF2QfAAAA
